timestamp,event_type,object_class,object_id,description,duration,confidence
2025-10-11 11:18:57,appeared,car,25,car appeared,0,0.5204289
2025-10-11 11:18:57,disappeared,car,18,Left frame,7.380749225616455,0
2025-10-11 11:18:58,disappeared,car,20,Left frame,5.750216007232666,0
2025-10-11 11:18:58,appeared,truck,26,truck appeared,0,0.5396616
2025-10-11 11:18:59,appeared,car,27,car appeared,0,0.5334513
2025-10-11 11:19:00,disappeared,car,21,Left frame,7.657073020935059,0
2025-10-11 11:19:00,appeared,car,28,car appeared,0,0.62240154
2025-10-11 11:19:01,appeared,car,29,car appeared,0,0.51945186
2025-10-11 11:19:01,disappeared,car,23,Left frame,5.194135904312134,0
2025-10-11 11:19:01,disappeared,car,19,Left frame,10.334850072860718,0
2025-10-11 11:19:02,disappeared,car,25,Left frame,4.516271591186523,0
2025-10-11 11:19:02,disappeared,truck,26,Left frame,4.242408037185669,0
2025-10-11 11:19:03,appeared,car,30,car appeared,0,0.5588173
2025-10-11 11:19:03,disappeared,car,27,Left frame,4.268834114074707,0
2025-10-11 11:19:03,appeared,car,31,car appeared,0,0.70476204
2025-10-11 11:19:03,appeared,car,32,car appeared,0,0.5008099
2025-10-11 11:19:05,appeared,car,33,car appeared,0,0.62114507
2025-10-11 11:19:05,appeared,car,34,car appeared,0,0.5441448
2025-10-11 11:19:05,disappeared,car,29,Left frame,4.9054036140441895,0
2025-10-11 11:19:06,disappeared,car,24,Left frame,8.604512214660645,0
2025-10-11 11:19:08,appeared,car,35,car appeared,0,0.5691375
2025-10-11 11:19:08,disappeared,car,22,Left frame,13.099347829818726,0
2025-10-11 11:19:08,disappeared,car,30,Left frame,5.045888900756836,0
2025-10-11 11:19:08,appeared,car,36,car appeared,0,0.5068153
2025-10-11 11:19:08,disappeared,car,31,Left frame,5.077034950256348,0
2025-10-11 11:19:08,disappeared,car,32,Left frame,5.077530860900879,0
2025-10-11 11:19:09,appeared,car,37,car appeared,0,0.5117722
2025-10-11 11:19:10,appeared,car,38,car appeared,0,0.7097935
2025-10-11 11:19:10,disappeared,car,34,Left frame,4.564738750457764,0
2025-10-11 11:19:10,appeared,car,39,car appeared,0,0.53267264
2025-10-11 11:19:10,appeared,car,40,car appeared,0,0.6999103
2025-10-11 11:19:11,line_crossed,car,39,Exited (crossed line),0,0.53267264
2025-10-11 11:19:11,appeared,car,41,car appeared,0,0.51710427
2025-10-11 11:19:11,appeared,car,42,car appeared,0,0.58780766
2025-10-11 11:19:13,appeared,car,43,car appeared,0,0.51150936
2025-10-11 11:19:13,appeared,car,44,car appeared,0,0.78939027
2025-10-11 11:19:13,disappeared,car,35,Left frame,5.914364576339722,0
2025-10-11 11:19:14,disappeared,car,37,Left frame,4.517194986343384,0
2025-10-11 11:19:14,appeared,car,45,car appeared,0,0.5688024
2025-10-11 11:19:16,disappeared,car,41,Left frame,4.394956111907959,0
2025-10-11 11:19:18,disappeared,car,42,Left frame,6.221490859985352,0
2025-10-11 11:19:18,disappeared,car,33,Left frame,12.743912935256958,0
2025-10-11 11:19:19,disappeared,car,45,Left frame,4.785883188247681,0
2025-10-11 11:19:19,appeared,car,46,car appeared,0,0.5618814
2025-10-11 11:19:20,disappeared,car,40,Left frame,9.203270435333252,0
2025-10-11 11:19:20,appeared,truck,47,truck appeared,0,0.5539376
2025-10-11 11:19:20,appeared,car,48,car appeared,0,0.51044863
2025-10-11 11:19:21,appeared,car,49,car appeared,0,0.5828152
2025-10-11 11:19:22,disappeared,car,39,Left frame,11.433876752853394,0
2025-10-11 11:19:22,appeared,car,50,car appeared,0,0.52038765
2025-10-11 11:19:22,line_crossed,car,50,Exited (crossed line),0,0.52038765
2025-10-11 11:19:23,appeared,truck,51,truck appeared,0,0.5375658
2025-10-11 11:19:23,disappeared,car,38,Left frame,13.516725063323975,0
2025-10-11 11:19:24,disappeared,car,28,Left frame,23.534806728363037,0
2025-10-11 11:19:24,appeared,truck,52,truck appeared,0,0.56957674
2025-10-11 11:19:24,disappeared,truck,47,Left frame,4.320805788040161,0
2025-10-11 11:19:25,appeared,car,53,car appeared,0,0.71399885
2025-10-11 11:19:25,disappeared,car,43,Left frame,11.592501640319824,0
2025-10-11 11:19:25,appeared,car,54,car appeared,0,0.5687166
2025-10-11 11:19:25,disappeared,car,36,Left frame,17.132929801940918,0
2025-10-11 11:19:27,disappeared,car,46,Left frame,7.238515138626099,0
2025-10-11 11:19:27,disappeared,car,50,Left frame,4.720876932144165,0
2025-10-11 11:19:28,disappeared,car,48,Left frame,7.842878818511963,0
2025-10-11 11:19:29,appeared,car,55,car appeared,0,0.64751863
2025-10-11 11:19:29,disappeared,truck,52,Left frame,5.243133306503296,0
2025-10-11 11:19:32,appeared,car,56,car appeared,0,0.6226758
2025-10-11 11:19:32,appeared,car,57,car appeared,0,0.54329956
2025-10-11 11:19:33,disappeared,car,53,Left frame,8.19658613204956,0
2025-10-11 11:19:33,appeared,car,58,car appeared,0,0.6156821
2025-10-11 11:19:33,appeared,car,59,car appeared,0,0.62022346
2025-10-11 11:19:34,line_crossed,car,49,Entered (crossed line),0,0.5828152
2025-10-11 11:19:35,appeared,car,60,car appeared,0,0.5081402
2025-10-11 11:19:36,disappeared,truck,51,Left frame,13.298415184020996,0
2025-10-11 11:19:37,appeared,car,61,car appeared,0,0.6778688
2025-10-11 11:19:37,appeared,car,62,car appeared,0,0.55666363
2025-10-11 11:19:38,disappeared,car,59,Left frame,4.394227743148804,0
2025-10-11 11:19:38,disappeared,car,54,Left frame,13.426730632781982,0
2025-10-11 11:19:38,disappeared,car,55,Left frame,9.628101110458374,0
2025-10-11 11:19:39,appeared,car,63,car appeared,0,0.616201
2025-10-11 11:19:39,appeared,car,64,car appeared,0,0.881701
